Graph#,dirname,filename,class,genus,species,interaction_type,definition_of_interaction,edge_wt_type,geographical_location,data_record_technique,time_span,resolution,time_span_per_day,population_type,attributes_available,Citation,
82,arabianbabbler_dominance_weighted,dragic_babbler83.graphml,Aves,Argya,squamiceps,physical_contact/ play,"play-fights, tug-of-war and displacements. Several play signals like crouching, rolling over, elevation of sticks, play bow, eye contact, freezing",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
83,arabianbabbler_food_sharing_weighted,dragic_babbler84.graphml,Aves,Argya,squamiceps,non_physical_social_interaction,"scrounging- direct theft, joining food patches discovered by others, taking over food patches discovered by others",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
84,arabianbabbler_grooming_weighted,dragic_babbler85.graphml,Aves,Argya,squamiceps,dominance,"brief aggressive and ritualised chases, usually towards a lower ranked individual. ",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
85,arabianbabbler_foraging_weighted,dragic_babbler86.graphml,Aves,Argya,squamiceps,food_sharing,Allofeeding- act of an individual feeding another individual within the group. Can be an act of parental care or a dominance display,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
86,arabianbabbler_physical_contact_weighted,dragic_babbler87.graphml,Aves,Argya,squamiceps,grooming,Allopreening- an individual cleaning and grooming other members of the group,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
87,arabianbabbler_association_weighted,dragic_babbler88.graphml,Aves,Argya,squamiceps,spatial_proximity/ foraging,non-contact interaction. Individuals that are foraging within 1m distance for more than 10 seconds of each other,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
88,arabianbabbler_dominance_weighted,dragic_babbler89.graphml,Aves,Argya,squamiceps,physical_contact/ play,"play-fights, tug-of-war and displacements. Several play signals like crouching, rolling over, elevation of sticks, play bow, eye contact, freezing",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
89,arabianbabbler_food_sharing_weighted,dragic_babbler90.graphml,Aves,Argya,squamiceps,non_physical_social_interaction,"scrounging- direct theft, joining food patches discovered by others, taking over food patches discovered by others",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
90,arabianbabbler_grooming_weighted,dragic_babbler91.graphml,Aves,Argya,squamiceps,dominance,"brief aggressive and ritualised chases, usually towards a lower ranked individual. ",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
91,arabianbabbler_foraging_weighted,dragic_babbler92.graphml,Aves,Argya,squamiceps,food_sharing,Allofeeding- act of an individual feeding another individual within the group. Can be an act of parental care or a dominance display,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
92,arabianbabbler_physical_contact_weighted,dragic_babbler93.graphml,Aves,Argya,squamiceps,grooming,Allopreening- an individual cleaning and grooming other members of the group,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
93,arabianbabbler_association_weighted,dragic_babbler94.graphml,Aves,Argya,squamiceps,spatial_proximity/ foraging,non-contact interaction. Individuals that are foraging within 1m distance for more than 10 seconds of each other,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
94,arabianbabbler_dominance_weighted,dragic_babbler95.graphml,Aves,Argya,squamiceps,physical_contact/ play,"play-fights, tug-of-war and displacements. Several play signals like crouching, rolling over, elevation of sticks, play bow, eye contact, freezing",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
95,arabianbabbler_food_sharing_weighted,dragic_babbler96.graphml,Aves,Argya,squamiceps,non_physical_social_interaction,"scrounging- direct theft, joining food patches discovered by others, taking over food patches discovered by others",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
96,arabianbabbler_grooming_weighted,dragic_babbler97.graphml,Aves,Argya,squamiceps,dominance,"brief aggressive and ritualised chases, usually towards a lower ranked individual. ",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
97,arabianbabbler_foraging_weighted,dragic_babbler98.graphml,Aves,Argya,squamiceps,food_sharing,Allofeeding- act of an individual feeding another individual within the group. Can be an act of parental care or a dominance display,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
98,arabianbabbler_physical_contact_weighted,dragic_babbler99.graphml,Aves,Argya,squamiceps,grooming,Allopreening- an individual cleaning and grooming other members of the group,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
99,arabianbabbler_association_weighted,dragic_babbler100.graphml,Aves,Argya,squamiceps,spatial_proximity/ foraging,non-contact interaction. Individuals that are foraging within 1m distance for more than 10 seconds of each other,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
100,arabianbabbler_dominance_weighted,dragic_babbler101.graphml,Aves,Argya,squamiceps,physical_contact/ play,"play-fights, tug-of-war and displacements. Several play signals like crouching, rolling over, elevation of sticks, play bow, eye contact, freezing",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
101,arabianbabbler_food_sharing_weighted,dragic_babbler102.graphml,Aves,Argya,squamiceps,non_physical_social_interaction,"scrounging- direct theft, joining food patches discovered by others, taking over food patches discovered by others",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
102,arabianbabbler_grooming_weighted,dragic_babbler103.graphml,Aves,Argya,squamiceps,dominance,"brief aggressive and ritualised chases, usually towards a lower ranked individual. ",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
103,arabianbabbler_foraging_weighted,dragic_babbler104.graphml,Aves,Argya,squamiceps,food_sharing,Allofeeding- act of an individual feeding another individual within the group. Can be an act of parental care or a dominance display,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
104,arabianbabbler_physical_contact_weighted,dragic_babbler105.graphml,Aves,Argya,squamiceps,grooming,Allopreening- an individual cleaning and grooming other members of the group,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
105,arabianbabbler_association_weighted,dragic_babbler106.graphml,Aves,Argya,squamiceps,spatial_proximity/ foraging,non-contact interaction. Individuals that are foraging within 1m distance for more than 10 seconds of each other,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
106,arabianbabbler_dominance_weighted,dragic_babbler107.graphml,Aves,Argya,squamiceps,physical_contact/ play,"play-fights, tug-of-war and displacements. Several play signals like crouching, rolling over, elevation of sticks, play bow, eye contact, freezing",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
107,arabianbabbler_food_sharing_weighted,dragic_babbler108.graphml,Aves,Argya,squamiceps,non_physical_social_interaction,"scrounging- direct theft, joining food patches discovered by others, taking over food patches discovered by others",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
108,arabianbabbler_grooming_weighted,dragic_babbler109.graphml,Aves,Argya,squamiceps,dominance,"brief aggressive and ritualised chases, usually towards a lower ranked individual. ",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
109,arabianbabbler_foraging_weighted,dragic_babbler110.graphml,Aves,Argya,squamiceps,food_sharing,Allofeeding- act of an individual feeding another individual within the group. Can be an act of parental care or a dominance display,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
110,arabianbabbler_physical_contact_weighted,dragic_babbler111.graphml,Aves,Argya,squamiceps,grooming,Allopreening- an individual cleaning and grooming other members of the group,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
111,arabianbabbler_association_weighted,dragic_babbler112.graphml,Aves,Argya,squamiceps,spatial_proximity/ foraging,non-contact interaction. Individuals that are foraging within 1m distance for more than 10 seconds of each other,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
112,arabianbabbler_physical_contact_weighted,dragic_babbler113.graphml,Aves,Argya,squamiceps,physical_contact/ play,"play-fights, tug-of-war and displacements. Several play signals like crouching, rolling over, elevation of sticks, play bow, eye contact, freezing",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
113,arabianbabbler_association_weighted,dragic_babbler114.graphml,Aves,Argya,squamiceps,non_physical_social_interaction,"scrounging- direct theft, joining food patches discovered by others, taking over food patches discovered by others",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",focal_sampling,3 years,NA,3-4 hours,free-ranging,"Age, age_class, breeding_status","Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336",
114,tasmaniandevil_proximity_weighted,hamilton_tasmaniandevil01.graphml,Mammalia,Sarcophilus,harrisii,spatial_proximity,proximity of 30cm or less ,frequency,"Smithton, Northwestern Tasmania, Australia",proximity_logger,6 months ,NA,24 hours,free-ranging,Sex,"Hamilton, D.G. et al. (2020) Infectious disease and sickness behaviour: Tumour progression affects interaction patterns and social network structure in wild Tasmanian devils, Proceedings of the Royal Society B: Biological Sciences, 287(1940), p. 20202454. doi:10.1098/rspb.2020.2454.",
115,tasmaniandevil_proximity_weighted,hamilton_tasmaniandevil02.graphml,Mammalia,Sarcophilus,harrisii,spatial_proximity,proximity of 30cm or less ,frequency,"Smithton, Northwestern Tasmania, Australia",proximity_logger,6 months ,NA,24 hours,free-ranging,Sex,"Hamilton, D.G. et al. (2020) Infectious disease and sickness behaviour: Tumour progression affects interaction patterns and social network structure in wild Tasmanian devils, Proceedings of the Royal Society B: Biological Sciences, 287(1940), p. 20202454. doi:10.1098/rspb.2020.2454.",
116,tasmaniandevil_proximity_weighted,hamilton_tasmaniandevil03.graphml,Mammalia,Sarcophilus,harrisii,spatial_proximity,proximity of 30cm or less ,frequency,"Smithton, Northwestern Tasmania, Australia",proximity_logger,6 months ,NA,24 hours,free-ranging,Sex,"Hamilton, D.G. et al. (2020) Infectious disease and sickness behaviour: Tumour progression affects interaction patterns and social network structure in wild Tasmanian devils, Proceedings of the Royal Society B: Biological Sciences, 287(1940), p. 20202454. doi:10.1098/rspb.2020.2454.",
117,tasmaniandevil_proximity_weighted,hamilton_tasmaniandevil04.graphml,Mammalia,Sarcophilus,harrisii,spatial_proximity,proximity of 30cm or less ,frequency,"Smithton, Northwestern Tasmania, Australia",proximity_logger,6 months ,NA,24 hours,free-ranging,Sex,"Hamilton, D.G. et al. (2020) Infectious disease and sickness behaviour: Tumour progression affects interaction patterns and social network structure in wild Tasmanian devils, Proceedings of the Royal Society B: Biological Sciences, 287(1940), p. 20202454. doi:10.1098/rspb.2020.2454.",
118,tasmaniandevil_proximity_weighted,hamilton_tasmaniandevil05.graphml,Mammalia,Sarcophilus,harrisii,spatial_proximity,proximity of 30cm or less ,frequency,"Smithton, Northwestern Tasmania, Australia",proximity_logger,6 months ,NA,24 hours,free-ranging,Sex,"Hamilton, D.G. et al. (2020) Infectious disease and sickness behaviour: Tumour progression affects interaction patterns and social network structure in wild Tasmanian devils, Proceedings of the Royal Society B: Biological Sciences, 287(1940), p. 20202454. doi:10.1098/rspb.2020.2454.",
119,tasmaniandevil_proximity_weighted,hamilton_tasmaniandevil06.graphml,Mammalia,Sarcophilus,harrisii,spatial_proximity,proximity of 30cm or less ,frequency,"Smithton, Northwestern Tasmania, Australia",proximity_logger,6 months ,NA,24 hours,free-ranging,Sex,"Hamilton, D.G. et al. (2020) Infectious disease and sickness behaviour: Tumour progression affects interaction patterns and social network structure in wild Tasmanian devils, Proceedings of the Royal Society B: Biological Sciences, 287(1940), p. 20202454. doi:10.1098/rspb.2020.2454.",
120,tasmaniandevil_proximity_weighted,hamilton_tasmaniandevil07.graphml,Mammalia,Sarcophilus,harrisii,spatial_proximity,proximity of 30cm or less ,frequency,"Smithton, Northwestern Tasmania, Australia",proximity_logger,6 months ,NA,24 hours,free-ranging,Sex,"Hamilton, D.G. et al. (2020) Infectious disease and sickness behaviour: Tumour progression affects interaction patterns and social network structure in wild Tasmanian devils, Proceedings of the Royal Society B: Biological Sciences, 287(1940), p. 20202454. doi:10.1098/rspb.2020.2454.",
121,tasmaniandevil_proximity_weighted,hamilton_tasmaniandevil08.graphml,Mammalia,Sarcophilus,harrisii,spatial_proximity,proximity of 30cm or less ,frequency,"Smithton, Northwestern Tasmania, Australia",proximity_logger,6 months ,NA,24 hours,free-ranging,Sex,"Hamilton, D.G. et al. (2020) Infectious disease and sickness behaviour: Tumour progression affects interaction patterns and social network structure in wild Tasmanian devils, Proceedings of the Royal Society B: Biological Sciences, 287(1940), p. 20202454. doi:10.1098/rspb.2020.2454.",
122,tasmaniandevil_proximity_weighted,hamilton_tasmaniandevil09.graphml,Mammalia,Sarcophilus,harrisii,spatial_proximity,proximity of 30cm or less ,frequency,"Smithton, Northwestern Tasmania, Australia",proximity_logger,6 months ,NA,24 hours,free-ranging,Sex,"Hamilton, D.G. et al. (2020) Infectious disease and sickness behaviour: Tumour progression affects interaction patterns and social network structure in wild Tasmanian devils, Proceedings of the Royal Society B: Biological Sciences, 287(1940), p. 20202454. doi:10.1098/rspb.2020.2454.",
123,tasmaniandevil_proximity_weighted,hamilton_tasmaniandevil10.graphml,Mammalia,Sarcophilus,harrisii,spatial_proximity,proximity of 30cm or less ,frequency,"Smithton, Northwestern Tasmania, Australia",proximity_logger,6 months ,NA,24 hours,free-ranging,Sex,"Hamilton, D.G. et al. (2020) Infectious disease and sickness behaviour: Tumour progression affects interaction patterns and social network structure in wild Tasmanian devils, Proceedings of the Royal Society B: Biological Sciences, 287(1940), p. 20202454. doi:10.1098/rspb.2020.2454.",
124,tasmaniandevil_proximity_weighted,hamilton_tasmaniandevil11.graphml,Mammalia,Sarcophilus,harrisii,spatial_proximity,proximity of 30cm or less ,frequency,"Smithton, Northwestern Tasmania, Australia",proximity_logger,6 months ,NA,24 hours,free-ranging,Sex,"Hamilton, D.G. et al. (2020) Infectious disease and sickness behaviour: Tumour progression affects interaction patterns and social network structure in wild Tasmanian devils, Proceedings of the Royal Society B: Biological Sciences, 287(1940), p. 20202454. doi:10.1098/rspb.2020.2454.",
125,tasmaniandevil_proximity_weighted,hamilton_tasmaniandevil12.graphml,Mammalia,Sarcophilus,harrisii,spatial_proximity,proximity of 30cm or less ,frequency,"Smithton, Northwestern Tasmania, Australia",proximity_logger,6 months ,NA,24 hours,free-ranging,Sex,"Hamilton, D.G. et al. (2020) Infectious disease and sickness behaviour: Tumour progression affects interaction patterns and social network structure in wild Tasmanian devils, Proceedings of the Royal Society B: Biological Sciences, 287(1940), p. 20202454. doi:10.1098/rspb.2020.2454.",
126,cichlidfish_dominance_weighted,maguire_cichlid01.graphml,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",video,7 days,NA,30 minutes,captive,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone","Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994.",
127,cichlidfish_dominance_weighted,maguire_cichlid02.graphml,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",video,7 days,NA,30 minutes,captive,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone","Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994.",
128,cichlidfish_dominance_weighted,maguire_cichlid03.graphml,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",video,7 days,NA,30 minutes,captive,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone","Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994.",
129,cichlidfish_dominance_weighted,maguire_cichlid04.graphml,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",video,7 days,NA,30 minutes,captive,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone","Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994.",
130,cichlidfish_dominance_weighted,maguire_cichlid05.graphml,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",video,7 days,NA,30 minutes,captive,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone","Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994.",
131,cichlidfish_dominance_weighted,maguire_cichlid06.graphml,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",video,7 days,NA,30 minutes,captive,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone","Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994.",
132,cichlidfish_dominance_weighted,maguire_cichlid07.graphml,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",video,7 days,NA,30 minutes,captive,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone","Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994.",
133,cichlidfish_dominance_weighted,maguire_cichlid08.graphml,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",video,7 days,NA,30 minutes,captive,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone","Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994.",
134,cichlidfish_dominance_weighted,maguire_cichlid09.graphml,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",video,7 days,NA,30 minutes,captive,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone","Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994.",
135,cichlidfish_dominance_weighted,maguire_cichlid10.graphml,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",video,7 days,NA,30 minutes,captive,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone","Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994.",
