Network_ID,Network_Identifier,class,genus,species,interaction_type,definition_of_interaction,edge_wt_type,geographical_location,population_type,data_record_technique,time_span,resolution,time_span_per_day,attributes_available,is_connected,num_components,nodes,edges,network.density,highest.degree,avg.degree,std.degree.node,CV.degree,skewness,avg.node.strength,std.node.strength,CV.node.strength,avg.edge.strength,std.edge.strength,CV.edge.strength,highest.node.strength,deg.assort,avg.betw.centrality,std.betw.centrality,highest.betw,avg.betw.centrality.weighted,std.betw.centrality.weighted,highest.betw.weighted,clustering,clustering.weighted,transitivity,Q,Qmax,Qrel,cohesion,num.modules,avg.modsize,diameter,Citation
Network_845.graphml,arabianbabbler_dominance_weighted,Aves,Argya,squamiceps,physical_contact/ play,"play-fights, tug-of-war and displacements. Several play signals like crouching, rolling over, elevation of sticks, play bow, eye contact, freezing",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",FALSE,5,10,13,0.289,5,2.6,2.2,0.846,-0.304,0.2,0.191,0.955,0.077,0.041,0.532,0.5,-0.444,0.006,0.008,0.018518519,0.013,0.014,0.037037037,0.54,0.224,0.867,0,0,NA,1,1,6,2,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_846.graphml,arabianbabbler_food_sharing_weighted,Aves,Argya,squamiceps,non_physical_social_interaction,"scrounging- direct theft, joining food patches discovered by others, taking over food patches discovered by others",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,10,28,0.622,9,5.6,1.855,0.331,0.042,0.2,0.107,0.535,0.036,0.036,1,0.435,-0.395,0.047,0.06,0.186574074,0.094,0.093,0.222222222,0.71,0.113,0.637,0.051,0.408,0.125,0.642857143,2,5,2,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_847.graphml,arabianbabbler_grooming_weighted,Aves,Argya,squamiceps,dominance,"brief aggressive and ritualised chases, usually towards a lower ranked individual. ",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,9,21,0.583,6,4.667,1.054,0.226,-2.289,0.222,0.054,0.243,0.048,0.039,0.812,0.31,-0.086,0.063,0.039,0.125,0.113,0.092,0.270833333,0.467,0.085,0.512,0.067,0.495,0.135,0.571387758,2,4.5,3,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_848.graphml,arabianbabbler_foraging_weighted,Aves,Argya,squamiceps,food_sharing,Allofeeding- act of an individual feeding another individual within the group. Can be an act of parental care or a dominance display,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,9,12,0.333,5,2.667,1.247,0.468,0.441,0.222,0.17,0.766,0.083,0.094,1.133,0.581,-0.217,0.139,0.171,0.470238095,0.155,0.133,0.392857143,0.311,0.043,0.333,0.267,0.601,0.444,0.666583344,3,3,4,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_849.graphml,arabianbabbler_physical_contact_weighted,Aves,Argya,squamiceps,grooming,Allopreening- an individual cleaning and grooming other members of the group,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,9,36,1,8,8,0,0,NA,0.222,0.047,0.212,0.028,0.014,0.5,0.286,,0,0,0,0.064,0.113,0.357142857,1,0.441,1,0,0,NA,1,1,9,1,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_850.graphml,arabianbabbler_association_weighted,Aves,Argya,squamiceps,spatial_proximity/ foraging,non-contact interaction. Individuals that are foraging within 1m distance for more than 10 seconds of each other,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,9,36,1,8,8,0,0,NA,0.222,0.05,0.225,0.028,0.01,0.357,0.264,,0,0,0,0.107,0.303,0.964285714,1,0.64,1,0,0,NA,1,1,9,1,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_851.graphml,arabianbabbler_dominance_weighted,Aves,Argya,squamiceps,physical_contact/ play,"play-fights, tug-of-war and displacements. Several play signals like crouching, rolling over, elevation of sticks, play bow, eye contact, freezing",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",FALSE,3,9,21,0.583,6,4.667,2.494,0.534,-1.934,0.222,0.125,0.563,0.048,0.014,0.292,0.328,,0,0,0,0.02,0.056,0.178571429,0.778,0.44,1,0,0,NA,0.999928577,1,7,1,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_852.graphml,arabianbabbler_food_sharing_weighted,Aves,Argya,squamiceps,non_physical_social_interaction,"scrounging- direct theft, joining food patches discovered by others, taking over food patches discovered by others",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,9,30,0.833,8,6.667,1.333,0.2,-1.132,0.222,0.096,0.432,0.033,0.024,0.727,0.379,-0.353,0.024,0.022,0.05297619,0.086,0.106,0.276785714,0.892,0.265,0.86,0,0,NA,0.999950002,1,9,2,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_853.graphml,arabianbabbler_grooming_weighted,Aves,Argya,squamiceps,dominance,"brief aggressive and ritualised chases, usually towards a lower ranked individual. ",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",FALSE,2,6,4,0.267,3,1.333,0.943,0.707,0.876,0.333,0.294,0.883,0.25,0.118,0.472,0.857,-0.667,0.133,0.197,0.5,0.133,0.197,0.5,0,0,0,0.219,0.469,0.467,0.750187547,2,2.5,3,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_854.graphml,arabianbabbler_foraging_weighted,Aves,Argya,squamiceps,food_sharing,Allofeeding- act of an individual feeding another individual within the group. Can be an act of parental care or a dominance display,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",FALSE,3,6,3,0.2,3,1,1,1,1.8,0.333,0.344,1.033,0.333,0.118,0.354,1,-1,0.05,0.112,0.3,0.05,0.112,0.3,0,0,0,0,0,NA,1,1,4,2,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_855.graphml,arabianbabbler_physical_contact_weighted,Aves,Argya,squamiceps,grooming,Allopreening- an individual cleaning and grooming other members of the group,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",FALSE,2,6,9,0.6,4,3,1.414,0.471,-2.547,0.333,0.175,0.526,0.111,0.051,0.459,0.588,-0.5,0.017,0.017,0.033333333,0.056,0.084,0.216666667,0.75,0.328,0.875,0,0,NA,1,1,5,2,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_856.graphml,arabianbabbler_association_weighted,Aves,Argya,squamiceps,spatial_proximity/ foraging,non-contact interaction. Individuals that are foraging within 1m distance for more than 10 seconds of each other,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,6,15,1,5,5,0,0,NA,0.333,0.073,0.219,0.067,0.025,0.373,0.401,,0,0,0,0.125,0.28,0.75,1,0.579,1,0,0,NA,1,1,6,1,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_857.graphml,arabianbabbler_dominance_weighted,Aves,Argya,squamiceps,physical_contact/ play,"play-fights, tug-of-war and displacements. Several play signals like crouching, rolling over, elevation of sticks, play bow, eye contact, freezing",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",FALSE,3,6,3,0.2,2,1,0.816,0.816,0,0.333,0.272,0.817,0.333,0,0,0.667,-0.5,0.067,0.094,0.2,0.067,0.094,0.2,0,0,0,0.167,0.5,0.334,0.666666667,2,2,3,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_858.graphml,arabianbabbler_food_sharing_weighted,Aves,Argya,squamiceps,non_physical_social_interaction,"scrounging- direct theft, joining food patches discovered by others, taking over food patches discovered by others",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,6,13,0.867,5,4.333,0.471,0.109,1.28,0.333,0.103,0.309,0.077,0.043,0.558,0.5,-0.3,0.033,0.012,0.05,0.086,0.069,0.2,0.822,0.306,0.818,0,0,NA,1.000076929,1,6,2,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_859.graphml,arabianbabbler_grooming_weighted,Aves,Argya,squamiceps,dominance,"brief aggressive and ritualised chases, usually towards a lower ranked individual. ",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",FALSE,2,11,26,0.473,9,4.727,2.178,0.461,-0.379,0.182,0.12,0.659,0.038,0.032,0.842,0.413,-0.282,0.038,0.051,0.187037037,0.082,0.059,0.19962963,0.619,0.158,0.634,0.112,0.497,0.225,0.61542012,2,5,2,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_860.graphml,arabianbabbler_foraging_weighted,Aves,Argya,squamiceps,food_sharing,Allofeeding- act of an individual feeding another individual within the group. Can be an act of parental care or a dominance display,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,11,14,0.255,5,2.545,1.373,0.539,0.865,0.182,0.132,0.725,0.071,0.043,0.606,0.474,-0.4,0.123,0.164,0.503703704,0.142,0.179,0.566666667,0.179,0.06,0.188,0.298,0.656,0.454,0.642971959,3,3.666666667,4,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_861.graphml,arabianbabbler_physical_contact_weighted,Aves,Argya,squamiceps,grooming,Allopreening- an individual cleaning and grooming other members of the group,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,11,55,1,10,10,0,0,NA,0.182,0.055,0.302,0.018,0.011,0.611,0.285,,0,0,0,0.062,0.143,0.488888889,1,0.305,1,0,0,NA,1,1,11,1,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_862.graphml,arabianbabbler_association_weighted,Aves,Argya,squamiceps,spatial_proximity/ foraging,non-contact interaction. Individuals that are foraging within 1m distance for more than 10 seconds of each other,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,11,55,1,10,10,0,0,NA,0.182,0.034,0.187,0.018,0.006,0.333,0.235,,0,0,0,0.018,0.044,0.155555556,1,0.486,1,0,0,NA,1,1,11,1,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_863.graphml,arabianbabbler_dominance_weighted,Aves,Argya,squamiceps,physical_contact/ play,"play-fights, tug-of-war and displacements. Several play signals like crouching, rolling over, elevation of sticks, play bow, eye contact, freezing",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",FALSE,3,11,36,0.655,8,6.545,3.086,0.472,-2.217,0.182,0.121,0.665,0.028,0.02,0.714,0.345,,0,0,0,0.045,0.1,0.311111111,0.818,0.287,1,0,0,NA,1.000069449,1,9,1,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_864.graphml,arabianbabbler_food_sharing_weighted,Aves,Argya,squamiceps,non_physical_social_interaction,"scrounging- direct theft, joining food patches discovered by others, taking over food patches discovered by others",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,11,42,0.764,10,7.636,1.494,0.196,-0.244,0.182,0.076,0.418,0.024,0.019,0.792,0.318,-0.244,0.026,0.02,0.064126984,0.076,0.1,0.356296296,0.808,0.225,0.784,0.047,0.452,0.104,0.595266441,2,5.5,2,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_865.graphml,arabianbabbler_grooming_weighted,Aves,Argya,squamiceps,dominance,"brief aggressive and ritualised chases, usually towards a lower ranked individual. ",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,15,63,0.6,14,8.4,2.498,0.297,-0.44,0.133,0.092,0.692,0.016,0.015,0.938,0.393,-0.244,0.031,0.037,0.159183673,0.061,0.048,0.190868655,0.699,0.106,0.655,0.088,0.628,0.14,0.46031746,3,5,2,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_866.graphml,arabianbabbler_foraging_weighted,Aves,Argya,squamiceps,food_sharing,Allofeeding- act of an individual feeding another individual within the group. Can be an act of parental care or a dominance display,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",FALSE,5,15,17,0.162,5,2.267,1.692,0.746,0.193,0.133,0.125,0.94,0.059,0.034,0.576,0.455,0.266,0.029,0.037,0.106227106,0.032,0.045,0.142857143,0.129,0.048,0.279,0.186,0.561,0.332,0.588148802,3,3.333333333,4,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_867.graphml,arabianbabbler_physical_contact_weighted,Aves,Argya,squamiceps,grooming,Allopreening- an individual cleaning and grooming other members of the group,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,15,105,1,14,14,0,0,NA,0.133,0.026,0.195,0.01,0.003,0.3,0.188,,0,0,0,0.014,0.046,0.184981685,1,0.469,1,0,0,NA,1,1,15,1,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_868.graphml,arabianbabbler_association_weighted,Aves,Argya,squamiceps,spatial_proximity/ foraging,non-contact interaction. Individuals that are foraging within 1m distance for more than 10 seconds of each other,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,15,105,1,14,14,0,0,NA,0.133,0.025,0.188,0.01,0.003,0.3,0.172,,0,0,0,0.026,0.097,0.39010989,1,0.579,1,0,0,NA,1,1,15,1,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_869.graphml,arabianbabbler_dominance_weighted,Aves,Argya,squamiceps,physical_contact/ play,"play-fights, tug-of-war and displacements. Several play signals like crouching, rolling over, elevation of sticks, play bow, eye contact, freezing",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",FALSE,2,15,72,0.686,13,9.6,3.791,0.395,-1.994,0.133,0.072,0.541,0.014,0.008,0.571,0.25,0.067,0.014,0.031,0.126373626,0.056,0.084,0.271062271,0.873,0.294,0.937,0.045,0.239,0.188,0.805555556,2,7,2,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_870.graphml,arabianbabbler_food_sharing_weighted,Aves,Argya,squamiceps,non_physical_social_interaction,"scrounging- direct theft, joining food patches discovered by others, taking over food patches discovered by others",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,15,63,0.6,11,8.4,2.245,0.267,-1.717,0.133,0.069,0.519,0.016,0.014,0.875,0.317,-0.181,0.032,0.026,0.091248038,0.05,0.038,0.109530518,0.678,0.109,0.643,0.112,0.557,0.201,0.555555556,3,5,3,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_871.graphml,arabianbabbler_grooming_weighted,Aves,Argya,squamiceps,dominance,"brief aggressive and ritualised chases, usually towards a lower ranked individual. ",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,14,39,0.429,9,5.571,1.954,0.351,0.046,0.143,0.075,0.524,0.026,0.016,0.615,0.32,-0.155,0.054,0.048,0.150260637,0.091,0.078,0.242091242,0.563,0.164,0.483,0.179,0.615,0.291,0.56414596,3,4.666666667,3,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_872.graphml,arabianbabbler_foraging_weighted,Aves,Argya,squamiceps,food_sharing,Allofeeding- act of an individual feeding another individual within the group. Can be an act of parental care or a dominance display,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",FALSE,8,14,6,0.066,3,0.857,0.915,1.068,1.062,0.143,0.19,1.329,0.167,0.133,0.796,0.636,-0.304,0.016,0.031,0.08974359,0.016,0.031,0.08974359,0,0,0,0.3,0.5,0.6,0.666777796,2,3,4,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_873.graphml,arabianbabbler_physical_contact_weighted,Aves,Argya,squamiceps,grooming,Allopreening- an individual cleaning and grooming other members of the group,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,14,91,1,13,13,0,0,NA,0.143,0.025,0.175,0.011,0.004,0.364,0.195,,0,0,0,0.019,0.038,0.134615385,1,0.423,1,0,0,NA,1,1,14,1,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_874.graphml,arabianbabbler_association_weighted,Aves,Argya,squamiceps,spatial_proximity/ foraging,non-contact interaction. Individuals that are foraging within 1m distance for more than 10 seconds of each other,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,14,91,1,13,13,0,0,NA,0.143,0.019,0.133,0.011,0.003,0.273,0.17,,0,0,0,0.002,0.007,0.025641026,1,0.581,1,0,0,NA,1,1,14,1,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_875.graphml,arabianbabbler_dominance_weighted,Aves,Argya,squamiceps,physical_contact/ play,"play-fights, tug-of-war and displacements. Several play signals like crouching, rolling over, elevation of sticks, play bow, eye contact, freezing",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",FALSE,10,14,5,0.055,3,0.714,0.958,1.342,1.363,0.143,0.208,1.455,0.2,0.067,0.335,0.667,0,0.002,0.007,0.025641026,0.003,0.007,0.025641026,0.167,0.105,0.6,0,0.5,0,0.400160064,2,2,2,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_876.graphml,arabianbabbler_food_sharing_weighted,Aves,Argya,squamiceps,non_physical_social_interaction,"scrounging- direct theft, joining food patches discovered by others, taking over food patches discovered by others",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,14,40,0.44,8,5.714,1.829,0.32,-1.048,0.143,0.057,0.399,0.025,0.012,0.48,0.211,-0.066,0.053,0.044,0.167521368,0.068,0.05,0.177350427,0.436,0.201,0.467,0.127,0.627,0.203,0.500025001,3,4.666666667,3,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_877.graphml,arabianbabbler_grooming_weighted,Aves,Argya,squamiceps,dominance,"brief aggressive and ritualised chases, usually towards a lower ranked individual. ",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,6,8,0.533,4,2.667,0.943,0.354,-0.876,0.333,0.14,0.42,0.125,0.147,1.176,0.542,0.2,0.167,0.243,0.6,0.225,0.248,0.65,0.583,0.078,0.75,0.18,0.305,0.59,0.874890639,2,3,3,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_878.graphml,arabianbabbler_foraging_weighted,Aves,Argya,squamiceps,food_sharing,Allofeeding- act of an individual feeding another individual within the group. Can be an act of parental care or a dominance display,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,6,5,0.333,2,1.667,0.471,0.283,-1.28,0.333,0.148,0.444,0.2,0.151,0.755,0.5,-0.25,0.333,0.249,0.6,0.333,0.249,0.6,0,0,0,0.26,0.66,0.394,0.599880024,3,2,5,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_879.graphml,arabianbabbler_physical_contact_weighted,Aves,Argya,squamiceps,grooming,Allopreening- an individual cleaning and grooming other members of the group,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,6,15,1,5,5,0,0,NA,0.333,0.082,0.246,0.067,0.029,0.433,0.444,,0,0,0,0.1,0.224,0.6,1,0.496,1,0,0,NA,1,1,6,1,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_880.graphml,arabianbabbler_association_weighted,Aves,Argya,squamiceps,spatial_proximity/ foraging,non-contact interaction. Individuals that are foraging within 1m distance for more than 10 seconds of each other,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,6,15,1,5,5,0,0,NA,0.333,0.09,0.27,0.067,0.029,0.433,0.405,,0,0,0,0.15,0.335,0.9,1,0.558,1,0,0,NA,1,1,6,1,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_881.graphml,arabianbabbler_dominance_weighted,Aves,Argya,squamiceps,physical_contact/ play,"play-fights, tug-of-war and displacements. Several play signals like crouching, rolling over, elevation of sticks, play bow, eye contact, freezing",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,6,15,1,5,5,0,0,NA,0.333,0.198,0.595,0.067,0.068,1.015,0.52,,0,0,0,0.167,0.373,1,1,0.267,1,0,0,NA,1,1,6,1,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
